id_radar;concessionaria;ano_do_pnv_snv;tipo_de_radar;rodovia;uf;km_m;municipio;tipo_pista;sentido;situacao;data_da_inativacao;latitude;longitude;velocidade_leve;velocidade_pesado
1;AUTOPISTA FERNÃO DIAS;2007;Controlador;BR-381;MG;483,7;Betim;Principal;Crescente;Ativo;;-19,959486;-44,085386;80;60
2;AUTOPISTA FERNÃO DIAS;2007;Controlador;BR-381;MG;493,29;Betim;Principal;Crescente;Ativo;;-19,964349;-44,171924;80;60
3;AUTOPISTA FERNÃO DIAS;2007;Controlador;BR-381;MG;525,35;Brumadinho;Principal;Crescente;Ativo;;-20,146664;-44,323897;80;60
4;AUTOPISTA FERNÃO DIAS;2007;Controlador;BR-381;MG;528,35;Brumadinho;Principal;Decrescente;Ativo;;-20,167194;-44,334434;80;60
5;AUTOPISTA FERNÃO DIAS;2007;Controlador;BR-381;MG;568,89;Itaguara;Principal;Decrescente;Ativo;;-20,410679;-44,526628;80;60
6;AUTOPISTA FERNÃO DIAS;2007;Controlador;BR-381;MG;618,36;Oliveira;Principal;Decrescente;Ativo;;-20,740356;-44,77152;80;60
7;AUTOPISTA FERNÃO DIAS;2007;Controlador;BR-381;MG;643,224;Santo Antônio do Amparo;Principal;Crescente;Ativo;;-20,921689;-44,87147;80;60
8;AUTOPISTA FERNÃO DIAS;2007;Controlador;BR-381;MG;653,74;Santo Antônio do Amparo;Principal;Crescente;Ativo;;-20,921689;-44,87147;80;60
9;AUTOPISTA FERNÃO DIAS;2007;Controlador;BR-381;MG;712,76;Carmo da Cachoeira;Principal;Decrescente;Ativo;;-21,372782;-45,190037;80;60
10;AUTOPISTA FERNÃO DIAS;2007;Controlador;BR-381;MG;886,25;Estiva;Principal;Decrescente;Ativo;;-22,510753;-46,018149;80;60
11;AUTOPISTA FERNÃO DIAS;2007;Controlador;BR-381;MG;907,72;Cambuí;Principal;Decrescente;Ativo;;-22,676048;-46,09803;80;60
12;AUTOPISTA FERNÃO DIAS;2007;Controlador;BR-381;MG;920,8;Camanducaia;Principal;Crescente;Ativo;;-22,760561;-46,167674;80;60
13;AUTOPISTA FERNÃO DIAS;2007;Controlador;BR-381;MG;923,38;Camanducaia;Principal;Crescente;Ativo;;-22,77438;-46,185834;80;60
14;AUTOPISTA FERNÃO DIAS;2007;Controlador;BR-381;SP;59,795;Mairiporã;Principal;Crescente;Ativo;;-23,289138;-46,58792;80;60
15;AUTOPISTA FERNÃO DIAS;2007;Controlador;BR-381;SP;70,2;Mairiporã;Principal;Decrescente;Ativo;;-23,349188;-46,556532;80;60
16;AUTOPISTA FERNÃO DIAS;2007;Controlador;BR-381;SP;73,06;São Paulo;Principal;Decrescente;Ativo;;-23,368741;-46,554044;80;60
17;AUTOPISTA FERNÃO DIAS;2007;Controlador;BR-381;SP;75,65;São Paulo;Principal;Crescente;Ativo;;-23,384708;-46,564716;80;60
18;AUTOPISTA FERNÃO DIAS;2007;Controlador;BR-381;SP;76,4;São Paulo;Principal;Decrescente;Ativo;;-23,387687;-46,569328;80;60
19;AUTOPISTA FERNÃO DIAS;2007;Controlador;BR-381;SP;78,2;São Paulo;Principal;Crescente;Ativo;;-23,401335;-46,575964;80;60
20;AUTOPISTA FLUMINENSE;2019;Controlador;BR-101;RJ;58,805;Campos dos Goytacazes;Principal;Decrescente;Ativo;;-21,713412;-41,308561;60;60
21;AUTOPISTA FLUMINENSE;2019;Controlador;BR-101;RJ;55,389;Campos dos Goytacazes;Principal;Crescente;Ativo;;-21,681822;-41,310949;60;60
22;AUTOPISTA FLUMINENSE;2019;Controlador;BR-101;RJ;55,52;Campos dos Goytacazes;Principal;Decrescente;Ativo;;-21,68329;-41,31089;60;60
23;AUTOPISTA FLUMINENSE;2019;Controlador;BR-101;RJ;184,6;Casimiro de Abreu;Principal;Crescente;Ativo;;-22,429729;-42,031134;80;80
24;AUTOPISTA FLUMINENSE;2019;Controlador;BR-101;RJ;282,56;Itaboraí;Principal;Crescente;Ativo;;-22,735698;-42,801862;60;60
25;AUTOPISTA FLUMINENSE;2019;Controlador;BR-101;RJ;283,31;Itaboraí;Principal;Decrescente;Ativo;;-22,738801;-42,806988;60;60
26;AUTOPISTA FLUMINENSE;2019;Controlador;BR-101;RJ;293,5;Itaboraí;Principal;Crescente;Ativo;;-22,755539;-42,888149;60;60
27;AUTOPISTA FLUMINENSE;2019;Controlador;BR-101;RJ;293,7;Itaboraí;Principal;Decrescente;Ativo;;-22,755202;-42,890633;60;60
28;AUTOPISTA FLUMINENSE;2019;Controlador;BR-101;RJ;298,3;Itaboraí;Principal;Crescente;Ativo;;-22,772149;-42,933291;100;80
29;AUTOPISTA FLUMINENSE;2019;Controlador;BR-101;RJ;298,65;Itaboraí;Principal;Decrescente;Ativo;;-22,773498;-42,935548;100;80
30;AUTOPISTA FLUMINENSE;2019;Controlador;BR-101;RJ;313;São Gonçalo;Principal;Decrescente;Ativo;;-22,809907;-43,068761;100;80
31;AUTOPISTA FLUMINENSE;2019;Controlador;BR-101;RJ;314,4;São Gonçalo;Principal;Crescente;Ativo;;-22,817695;-43,079165;100;80
32;AUTOPISTA FLUMINENSE;2019;Controlador;BR-101;RJ;316,4;São Gonçalo;Principal;Crescente;Ativo;;-22,830783;-43,093638;100;80
33;AUTOPISTA LITORAL SUL;2009;Redutor;BR-376;PR;650,8;Tijucas do Sul;Principal;Crescente;Ativo;;-25,8451;-49,0726;60;60
34;AUTOPISTA LITORAL SUL;2009;Redutor;BR-376;PR;664,773;Guaratuba;Principal;Crescente;Ativo;;-25,8582;-48,9512;60;60
35;AUTOPISTA LITORAL SUL;2009;Redutor;BR-376;PR;667,013;Guaratuba;Principal;Crescente;Ativo;;-25,8637;-48,9348;60;60
36;AUTOPISTA LITORAL SUL;2009;Redutor;BR-376;PR;668,334;Guaratuba;Principal;Crescente;Ativo;;-25,8693;-48,9341;60;60
37;AUTOPISTA LITORAL SUL;2009;Redutor;BR-376;PR;668,88;Guaratuba;Principal;Decrescente;Ativo;;-25,8749;-48,9363;60;60
38;AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;48,77;Joinville;Principal;Crescente;Ativo;;-26,3802;-48,8516;80;80
39;AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;50,51;Joinville;Principal;Decrescente;Ativo;;-26,39035;-48,839967;80;80
40;AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;140,48;Balneário Camboriú;Principal;Decrescente;Ativo;;-27,042947;-48,599675;60;60
41;AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;114,8;Itajaí;Marginal;Crescente;Ativo;;-26,869883;-48,729797;40;40
42;AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;114,9;Itajaí;Marginal;Decrescente;Ativo;;-26,883453;-48,724089;40;40
43;AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;116,5;Itajaí;Marginal;Decrescente;Ativo;;-27,511425;-48,642764;40;40
44;AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;196,05;Biguaçu;Marginal;Crescente;Ativo;;-27,512006;-48,642081;40;40
45;AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;196,15;Biguaçu;Marginal;Decrescente;Ativo;;-27,532914;-48,630986;40;40
46;AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;198,8;São José;Marginal;Crescente;Ativo;;-27,558233;-48,61835;60;60
47;AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;203,85;São José;Marginal;Crescente;Ativo;;-27,572569;-48,613778;60;60
48;AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;204,25;São José;Marginal;Decrescente;Ativo;;-27,576306;-48,613381;60;60
49;AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;204,75;São José;Marginal;Crescente;Ativo;;-27,580361;-48,614436;40;40
50;AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;204,77;São José;Marginal;Decrescente;Ativo;;-27,580619;-48,614444;40;40
51;AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;209,15;São José;Marginal;Crescente;Ativo;;-27,610039;-48,638892;60;60
52;AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;209,9;São José;Marginal;Decrescente;Ativo;;-27,616022;-48,644975;60;60
53;AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;210,7;São José;Marginal;Decrescente;Ativo;;-27,621294;-48,650333;60;60
54;AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;212,3;Palhoça;Marginal;Crescente;Ativo;;-27,632003;-48,661075;40;40
55;AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;212,35;Palhoça;Marginal;Decrescente;Ativo;;-27,632314;-48,661422;40;40
56;AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;213,29;Palhoça;Marginal;Crescente;Ativo;;-27,639242;-48,66675;40;40
57;AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;213,66;Palhoça;Marginal;Crescente;Ativo;;-27,642081;-48,668847;60;60
58;AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;213,85;Palhoça;Marginal;Decrescente;Ativo;;-27,643475;-48,669875;60;60
